KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
244736,31326208,100000000,1617589629368,375,10758,11133
24576,3145728,100000000,1617587278023,44,8309,8353
245760,31457280,100000000,1617589640598,375,10748,11123
246784,31588352,100000000,1617589651809,383,10824,11207
247808,31719424,100000000,1617589663107,382,10895,11277
248832,31850496,100000000,1617589674473,380,10908,11288
249856,31981568,100000000,1617589685851,379,10779,11158
250880,32112640,100000000,1617589697104,389,10988,11377
251904,32243712,100000000,1617589708572,387,10438,10825
252928,32374784,100000000,1617589719486,386,10513,10899
253952,32505856,100000000,1617589730497,379,10347,10726
254976,32636928,100000000,1617589741312,398,10817,11215
25600,3276800,100000000,1617587286443,45,8319,8364
256000,32768000,100000000,1617589752619,392,10522,10914
257024,32899072,100000000,1617589763623,391,10842,11233
258048,33030144,100000000,1617589774948,385,10912,11297
259072,33161216,100000000,1617589786362,399,10853,11252
260096,33292288,100000000,1617589797709,398,10951,11349
261120,33423360,100000000,1617589809161,398,10623,11021
262144,33554432,100000000,1617589820272,389,9220,9609
263168,33685504,100000000,1617589829974,410,12154,12564
264192,33816576,100000000,1617589842632,404,12239,12643
265216,33947648,100000000,1617589855373,404,12052,12456
26624,3407872,100000000,1617587294872,48,8684,8732
266240,34078720,100000000,1617589867923,397,11774,12171
267264,34209792,100000000,1617589880189,414,12016,12430
268288,34340864,100000000,1617589892714,412,11696,12108
269312,34471936,100000000,1617589904916,410,11676,12086
270336,34603008,100000000,1617589917113,403,12058,12461
271360,34734080,100000000,1617589929669,421,12149,12570
272384,34865152,100000000,1617589942332,419,11999,12418
273408,34996224,100000000,1617589954844,417,11999,12416
274432,35127296,100000000,1617589967353,410,11550,11960
275456,35258368,100000000,1617589979406,427,12042,12469
27648,3538944,100000000,1617587303673,48,8433,8481
276480,35389440,100000000,1617589991990,425,12224,12649
277504,35520512,100000000,1617590004745,431,11902,12333
278528,35651584,100000000,1617590017189,426,11985,12411
279552,35782656,100000000,1617590029698,416,11946,12362
280576,35913728,100000000,1617590042174,433,12243,12676
281600,36044800,100000000,1617590054946,433,12267,12700
282624,36175872,100000000,1617590067759,431,12204,12635
283648,36306944,100000000,1617590080489,429,11623,12052
284672,36438016,100000000,1617590092634,442,12233,12675
285696,36569088,100000000,1617590105405,441,12184,12625
28672,3670016,100000000,1617587312218,51,7818,7869
286720,36700160,100000000,1617590118131,440,11458,11898
287744,36831232,100000000,1617590130141,438,12124,12562
288768,36962304,100000000,1617590142798,430,11524,11954
289792,37093376,100000000,1617590154849,451,12153,12604
290816,37224448,100000000,1617590167549,448,11690,12138
291840,37355520,100000000,1617590179781,447,11615,12062
292864,37486592,100000000,1617590191936,445,12111,12556
293888,37617664,100000000,1617590204587,438,11876,12314
294912,37748736,100000000,1617590216996,457,12150,12607
295936,37879808,100000000,1617590229701,457,11406,11863
29696,3801088,100000000,1617587320152,52,8512,8564
296960,38010880,100000000,1617590241666,455,12150,12605
297984,38141952,100000000,1617590254367,456,12249,12705
299008,38273024,100000000,1617590267174,446,11972,12418
300032,38404096,100000000,1617590279689,466,11917,12383
301056,38535168,100000000,1617590292167,465,11868,12333
302080,38666240,100000000,1617590304596,464,12298,12762
303104,38797312,100000000,1617590317456,462,12229,12691
304128,38928384,100000000,1617590330244,461,11710,12171
305152,39059456,100000000,1617590342511,475,11894,12369
306176,39190528,100000000,1617590354975,474,9753,10227
3072,393216,100000000,1617585796617,9,1976,1985
3072,393216,100000000,1617587153580,9,2063,2072
30720,3932160,100000000,1617587328784,52,8861,8913
307200,39321600,100000000,1617590365368,480,10137,10617
308224,39452672,100000000,1617590376111,471,10671,11142
309248,39583744,100000000,1617590387348,470,10804,11274
310272,39714816,100000000,1617590398720,463,10420,10883
31744,4063232,100000000,1617587337762,55,8937,8992
32768,4194304,100000000,1617587346822,57,8685,8742
33792,4325376,100000000,1617587355649,56,8890,8946
34816,4456448,100000000,1617587364661,60,8945,9005
35840,4587520,100000000,1617587373732,61,8977,9038
36864,4718592,100000000,1617587382835,62,9005,9067
37888,4849664,100000000,1617587391968,64,9153,9217
38912,4980736,100000000,1617587401272,63,9095,9158
39936,5111808,100000000,1617587410501,67,9052,9119
4096,524288,100000000,1617585798647,10,1918,1928
4096,524288,100000000,1617587155697,10,1964,1974
40960,5242880,100000000,1617587419687,70,9153,9223
41984,5373952,100000000,1617587428977,70,9170,9240
43008,5505024,100000000,1617587438284,71,9092,9163
44032,5636096,100000000,1617587447515,74,9140,9214
45056,5767168,100000000,1617587456793,74,9143,9217
46080,5898240,100000000,1617587466077,76,9416,9492
47104,6029312,100000000,1617587475639,77,9472,9549
48128,6160384,100000000,1617587485256,79,9602,9681
49152,6291456,100000000,1617587495004,80,9519,9599
50176,6422528,100000000,1617587504673,83,9217,9300
5120,655360,100000000,1617585800622,11,2064,2075
5120,655360,100000000,1617587157717,11,2024,2035
51200,6553600,100000000,1617587514043,84,9231,9315
52224,6684672,100000000,1617587523426,86,9194,9280
53248,6815744,100000000,1617587532777,86,9233,9319
54272,6946816,100000000,1617587542164,88,9327,9415
55296,7077888,100000000,1617587551648,89,9665,9754
56320,7208960,100000000,1617587561473,92,9602,9694
57344,7340032,100000000,1617587571237,94,9640,9734
58368,7471104,100000000,1617587581047,93,9674,9767
59392,7602176,100000000,1617587590890,94,9683,9777
60416,7733248,100000000,1617587600748,97,9618,9715
6144,786432,100000000,1617585802742,13,3182,3195
6144,786432,100000000,1617587159797,13,3273,3286
61440,7864320,100000000,1617587610533,98,9692,9790
62464,7995392,100000000,1617587620392,101,9673,9774
63488,8126464,100000000,1617587630237,102,9360,9462
64512,8257536,100000000,1617587639770,102,9442,9544
65536,8388608,100000000,1617587649385,105,9251,9356
66560,8519680,100000000,1617587658812,106,9764,9870
67584,8650752,100000000,1617587668754,107,9853,9960
68608,8781824,100000000,1617587678785,109,9406,9515
69632,8912896,100000000,1617587688369,111,9724,9835
70656,9043968,100000000,1617587698276,112,9859,9971
7168,917504,100000000,1617585805991,15,3984,3999
7168,917504,100000000,1617587163135,15,4443,4458
71680,9175040,100000000,1617587708319,113,9826,9939
72704,9306112,100000000,1617587718358,114,9741,9855
73728,9437184,100000000,1617587728287,117,10159,10276
74752,9568256,100000000,1617587738635,118,9820,9938
75776,9699328,100000000,1617587748643,119,9869,9988
76800,9830400,100000000,1617587758703,121,9814,9935
77824,9961472,100000000,1617587768710,123,9784,9907
78848,10092544,100000000,1617587778696,126,9781,9907
79872,10223616,100000000,1617587788676,125,9691,9816
80896,10354688,100000000,1617587798565,126,9887,10013
8192,1048576,100000000,1617585810047,17,4460,4477
8192,1048576,100000000,1617587167657,22,4690,4712
81920,10485760,100000000,1617587808648,130,10131,10261
82944,10616832,100000000,1617587818984,130,9948,10078
83968,10747904,100000000,1617587829134,133,9747,9880
84992,10878976,100000000,1617587839087,133,9888,10021
86016,11010048,100000000,1617587849180,133,9810,9943
87040,11141120,100000000,1617587859195,138,9906,10044
88064,11272192,100000000,1617587869335,136,9903,10039
89088,11403264,100000000,1617587879447,138,9761,9899
90112,11534336,100000000,1617587889419,140,9996,10136
91136,11665408,100000000,1617587899629,141,9907,10048
9216,1179648,100000000,1617585814582,19,4765,4784
9216,1179648,100000000,1617587172428,19,4950,4969
92160,11796480,100000000,1617587909748,143,10100,10243
93184,11927552,100000000,1617587920068,144,10110,10254
94208,12058624,100000000,1617587930404,147,11057,11204
95232,12189696,100000000,1617587941684,147,11133,11280
96256,12320768,100000000,1617587953053,148,11145,11293
97280,12451840,100000000,1617587964441,150,11167,11317
98304,12582912,100000000,1617587975834,155,11750,11905
99328,12713984,100000000,1617587987816,157,11207,11364
